video_id,title,script_file,storyboard_file,vo_status,elevenlabs_files_needed,avatar_status,tool_assets_needed,capcut_status,captions_status,platform_versions,posting_checklist
BK-001,What a PDUFA date actually is,scripts/S01-PDUFA-explainer-60s.md,storyboards/SB01-*.md,Recorded,BioKev v1 preset; per-shot WAVs,Not started,Character Animator + calendar+stamp+coin,Not started,Not started,9:16 x3 + 1:1 LinkedIn,Pending
BK-002,Statistical vs clinical significance,scripts/S02-stat-vs-clinical-significance-45s.md,storyboards/SB02-*.md,Not started,BioKev v1 preset; per-shot WAVs,Not started,Character Animator + trophy+patient,Not started,Not started,9:16 x3 + 1:1 LinkedIn,Pending
BK-003,How to read cash runway,scripts/S03-cash-runway-60s.md,storyboards/SB03-*.md,Not started,BioKev v1 preset; per-shot WAVs,Not started,Character Animator + runway plane+juice,Not started,Not started,9:16 x3 + 1:1 LinkedIn,Pending
BK-004,What dilution does to your shares,scripts/S04-dilution-30s.md,storyboards/SB04-*.md,Not started,BioKev v1 preset; per-shot WAVs,Not started,Character Animator + juice+pie,Not started,Not started,9:16 x3 + 1:1 LinkedIn,Pending
BK-005,Primary vs secondary endpoints,scripts/S05-primary-vs-secondary-endpoints-45s.md,storyboards/SB05-*.md,Recorded,BioKev v1 preset; per-shot WAVs,Rendered,Character Animator + bullseye,In progress,In progress,9:16 x3 + 1:1 LinkedIn,Pending
BK-006,What an AdComm vote means,scripts/S06-advisory-committee-45s.md,storyboards/SB06-*.md,Not started,BioKev v1 preset; per-shot WAVs,Not started,Character Animator + referee panel,Not started,Not started,9:16 x3 + 1:1 LinkedIn,Pending
BK-007,NOVX-demo catalyst in 60,scripts/S07-catalyst-in-60-TEMPLATE-60s.md,storyboards/SB07-*.md,Not started,BioKev v1 preset; per-shot WAVs,Not started,Character Animator + calendar+bull/bear,Not started,Not started,9:16 x3 + 1:1 LinkedIn,Pending
BK-008,RENX-demo trial teardown,scripts/S08-trial-teardown-TEMPLATE-45s.md,storyboards/SB08-*.md,Not started,BioKev v1 preset; per-shot WAVs,Not started,Character Animator + bullseye+whiteboard,Not started,Not started,9:16 x3 + 1:1 LinkedIn,Pending
BK-009,RENX-demo bull vs bear,scripts/S09-bull-vs-bear-TEMPLATE-60s.md,storyboards/SB09-*.md,Not started,BioKev v1 preset; per-shot WAVs,Not started,Character Animator + bull+bear,Not started,Not started,9:16 x3 + 1:1 LinkedIn,Pending
BK-010,30 days building in public,scripts/S10-post-mortem-TEMPLATE-60s.md,storyboards/SB10-*.md,Not started,Kevin live,Not started,Character Animator + marker chart,Not started,Not started,9:16 x3 + 1:1 LinkedIn,Pending
